Olus_Zamani,Enlem,Boylam,Derinlik_km,Buyukluk,Yer
2025.04.24 01:55:18,40.8458,28.3673, 11.5 ,1.8 ,MARMARA DENIZI
2025.04.24 02:01:00,40.8610,28.3672, 11.9 ,1.7 ,MARMARA DENIZI
2025.04.24 02:03:55,40.8645,28.3120, 15.3 ,2.3 ,MARMARA DENIZI
2025.04.24 02:09:53,40.8623,28.1477, 14.0 ,1.6 ,MARMARA DENIZI
2025.04.24 02:13:28,39.2400,40.2160,  5.6 ,2.3 ,ACIKGUNEY-KIGI (BINGOL)
2025.04.24 02:14:31,40.8448,28.4232, 13.0 ,2.1 ,MARMARA DENIZI
2025.04.24 02:39:03,40.8578,28.3930,  5.0 ,1.8 ,MARMARA DENIZI
2025.04.24 02:41:31,40.8500,28.3993, 13.0 ,1.7 ,MARMARA DENIZI
2025.04.24 02:42:30,40.8458,28.3367, 15.5 ,3.0 ,MARMARA DENIZI
2025.04.24 02:45:12,40.8832,28.5098,  4.5 ,1.8 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 02:46:34,39.2582,28.9867,  7.4 ,2.6 ,YEMISLI-SIMAV (KUTAHYA)
2025.04.24 02:56:31,39.2442,28.9950, 12.8 ,1.6 ,YEMISLI-SIMAV (KUTAHYA)
2025.04.24 03:06:13,40.8667,28.6913, 10.7 ,2.0 ,AVCILAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 03:16:07,40.8387,28.4213, 14.6 ,1.5 ,MARMARA DENIZI
2025.04.24 03:17:49,40.8507,28.4820, 14.8 ,2.9 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 03:23:59,40.8637,28.2902, 10.7 ,2.0 ,MARMARA DENIZI
2025.04.24 03:30:22,37.8968,29.2345,  8.1 ,3.8 ,IRLIGANLI-(DENIZLI)
2025.04.24 03:47:48,40.8123,28.1792, 15.8 ,1.7 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 03:59:52,40.8642,28.4095, 12.6 ,3.3 ,MARMARA DENIZI
2025.04.24 04:20:03,40.8217,28.1293, 12.9 ,4.1 ,MARMARA DENIZI
2025.04.24 04:38:14,40.6373,33.0080,  2.3 ,2.5 ,BUGUOREN-ORTA (CANKIRI)
2025.04.24 04:47:09,40.8557,28.4747, 14.2 ,1.5 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.24 04:48:11,40.8865,28.3783, 13.5 ,1.3 ,MARMARA DENIZI
2025.04.24 04:55:02,36.9543,28.8823, 20.1 ,1.5 ,SAZAK-KOYCEGIZ (MUGLA)
2025.04.24 04:57:41,40.8308,28.1230, 12.2 ,1.9 ,MARMARA DENIZI
2025.04.24 04:59:03,37.4200,36.9035,  5.0 ,1.2 ,KUYUMCULAR-TURKOGLU (KAHRAMANMARAS)
2025.04.24 05:10:09,40.8493,28.3820, 14.2 ,2.3 ,MARMARA DENIZI
2025.04.24 05:16:53,38.0505,29.0375, 15.8 ,1.6 ,BELENARDIC-AKKOY (DENIZLI)
2025.04.24 05:20:57,38.1808,38.4938, 10.1 ,1.4 ,ULUKOY-(MALATYA)
2025.04.24 05:22:18,40.8665,28.3262, 16.8 ,1.9 ,MARMARA DENIZI
2025.04.24 05:23:10,40.8575,28.4365, 13.7 ,1.6 ,MARMARA DENIZI
